Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
9,0.94,0.7778,0.0197,0.0384,0.843,7
19,1.98,0.7368,0.0393,0.0747,0.843,14
28,2.91,0.75,0.059,0.1094,0.843,21
38,3.95,0.7632,0.0815,0.1472,0.843,29
48,4.99,0.7292,0.0983,0.1733,0.843,35
57,5.93,0.7368,0.118,0.2034,0.843,42
67,6.97,0.7164,0.1348,0.227,0.843,48
76,7.91,0.7237,0.1545,0.2546,0.843,55
86,8.95,0.686,0.1657,0.267,0.843,59
96,9.99,0.6562,0.177,0.2788,0.843,63
144,14.98,0.6389,0.2584,0.368,0.843,92
192,19.98,0.6562,0.3539,0.4599,0.843,126
240,24.97,0.6208,0.4185,0.5,0.843,149
288,29.97,0.6181,0.5,0.5528,0.843,178
336,34.96,0.631,0.5955,0.6127,0.843,212
384,39.96,0.6276,0.677,0.6514,0.843,241
432,44.95,0.6088,0.7388,0.6675,0.843,263
480,49.95,0.5833,0.7865,0.6699,0.843,280
576,59.94,0.5486,0.8876,0.6781,0.843,316
672,69.93,0.4955,0.9354,0.6479,0.843,333
768,79.92,0.4492,0.9691,0.6139,0.843,345
864,89.91,0.4086,0.9916,0.5787,0.843,353
961,100.0,0.3704,1.0,0.5406,0.843,356
