Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
60,0.98,0.1,0.0108,0.0195,0.6094,6
121,1.98,0.1074,0.0235,0.0385,0.6094,13
182,2.98,0.1209,0.0397,0.0598,0.6094,22
243,3.98,0.1317,0.0578,0.0803,0.6094,32
304,4.98,0.1151,0.0632,0.0816,0.6094,35
365,5.98,0.1178,0.0776,0.0936,0.6094,43
426,6.98,0.1244,0.0957,0.1082,0.6094,53
487,7.98,0.1294,0.1137,0.121,0.6094,63
548,8.99,0.135,0.1336,0.1343,0.6094,74
609,9.99,0.1363,0.1498,0.1427,0.6094,83
914,14.99,0.1204,0.1986,0.1499,0.6094,110
1219,19.99,0.1214,0.2671,0.1669,0.6094,148
1524,24.99,0.126,0.3466,0.1848,0.6094,192
1829,29.99,0.1203,0.3971,0.1846,0.6094,220
2134,34.99,0.1218,0.4693,0.1935,0.6094,260
2439,39.99,0.1226,0.5397,0.1998,0.6094,299
2744,44.99,0.1184,0.5866,0.1971,0.6094,325
3049,49.99,0.1174,0.6462,0.1987,0.6094,358
3659,59.99,0.1142,0.7545,0.1984,0.6094,418
4269,70.0,0.1085,0.8357,0.192,0.6094,463
4879,80.0,0.1039,0.9152,0.1866,0.6094,507
5489,90.0,0.0991,0.9819,0.18,0.6094,544
6099,100.0,0.0908,1.0,0.1665,0.6094,554
