Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
129,1.0,0.0853,0.0406,0.055,0.447,11
259,2.0,0.0656,0.0627,0.0642,0.447,17
388,2.99,0.0438,0.0627,0.0516,0.447,17
518,4.0,0.0405,0.0775,0.0532,0.447,21
648,5.0,0.0386,0.0923,0.0544,0.447,25
777,6.0,0.0373,0.107,0.0553,0.447,29
907,7.0,0.032,0.107,0.0492,0.447,29
1036,7.99,0.0309,0.1181,0.049,0.447,32
1166,9.0,0.0292,0.1255,0.0473,0.447,34
1296,10.0,0.0293,0.1402,0.0485,0.447,38
1944,15.0,0.0242,0.1734,0.0424,0.447,47
2592,20.0,0.0224,0.214,0.0405,0.447,58
3240,25.0,0.0204,0.2435,0.0376,0.447,66
3888,30.0,0.0188,0.2694,0.0351,0.447,73
4536,35.0,0.0187,0.3137,0.0354,0.447,85
5184,40.0,0.0174,0.3321,0.033,0.447,90
5832,45.0,0.0178,0.3838,0.0341,0.447,104
6480,50.0,0.017,0.4059,0.0326,0.447,110
7776,60.0,0.0161,0.4613,0.0311,0.447,125
9072,70.0,0.0164,0.5498,0.0319,0.447,149
10368,80.0,0.0183,0.7011,0.0357,0.447,190
11664,90.0,0.02,0.8598,0.039,0.447,233
12960,100.0,0.0209,1.0,0.041,0.447,271
