Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.98,1.0,0.0732,0.1364,0.941,6
12,1.95,1.0,0.1463,0.2553,0.941,12
18,2.93,1.0,0.2195,0.36,0.941,18
24,3.9,1.0,0.2927,0.4528,0.941,24
30,4.88,1.0,0.3659,0.5357,0.941,30
36,5.85,0.9444,0.4146,0.5763,0.941,34
43,6.99,0.9302,0.4878,0.64,0.941,40
49,7.97,0.8776,0.5244,0.6565,0.941,43
55,8.94,0.8727,0.5854,0.7007,0.941,48
61,9.92,0.8525,0.6341,0.7273,0.941,52
92,14.96,0.6739,0.7561,0.7126,0.941,62
123,20.0,0.5528,0.8293,0.6634,0.941,68
153,24.88,0.4771,0.8902,0.6213,0.941,73
184,29.92,0.4022,0.9024,0.5564,0.941,74
215,34.96,0.3488,0.9146,0.5051,0.941,75
246,40.0,0.3089,0.9268,0.4634,0.941,76
276,44.88,0.2862,0.9634,0.4413,0.941,79
307,49.92,0.2573,0.9634,0.4062,0.941,79
369,60.0,0.2222,1.0,0.3636,0.941,82
430,69.92,0.1907,1.0,0.3203,0.941,82
492,80.0,0.1667,1.0,0.2857,0.941,82
553,89.92,0.1483,1.0,0.2583,0.941,82
615,100.0,0.1333,1.0,0.2353,0.941,82
