Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.81,0.0,0.0,0.0,0.7344,0
7,1.89,0.0,0.0,0.0,0.7344,0
11,2.97,0.0,0.0,0.0,0.7344,0
14,3.78,0.0,0.0,0.0,0.7344,0
18,4.86,0.0,0.0,0.0,0.7344,0
22,5.95,0.0455,0.02,0.0278,0.7344,1
25,6.76,0.04,0.02,0.0267,0.7344,1
29,7.84,0.1034,0.06,0.0759,0.7344,3
33,8.92,0.1212,0.08,0.0964,0.7344,4
37,10.0,0.1081,0.08,0.092,0.7344,4
55,14.86,0.2,0.22,0.2095,0.7344,11
74,20.0,0.1892,0.28,0.2258,0.7344,14
92,24.86,0.1848,0.34,0.2394,0.7344,17
111,30.0,0.1982,0.44,0.2733,0.7344,22
129,34.86,0.2481,0.64,0.3575,0.7344,32
148,40.0,0.2432,0.72,0.3636,0.7344,36
166,44.86,0.253,0.84,0.3889,0.7344,42
185,50.0,0.2649,0.98,0.417,0.7344,49
222,60.0,0.2252,1.0,0.3676,0.7344,50
259,70.0,0.1931,1.0,0.3236,0.7344,50
296,80.0,0.1689,1.0,0.289,0.7344,50
333,90.0,0.1502,1.0,0.2611,0.7344,50
370,100.0,0.1351,1.0,0.2381,0.7344,50
