animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,normal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,normal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,normal
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,normal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,normal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,normal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,normal
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,normal
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,normal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,normal
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,normal
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,normal
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,normal
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,normal
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,normal
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,normal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,normal
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,normal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,normal
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,normal
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,normal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,normal
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,anomaly
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,anomaly
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,anomaly
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,normal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,normal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,normal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,anomaly
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,normal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,normal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,normal
