B,G,R,class
0,2,181,normal
101,153,223,anomaly
131,131,131,normal
149,193,247,anomaly
232,205,209,normal
58,126,193,anomaly
237,199,164,normal
237,225,219,normal
254,132,110,normal
167,164,113,normal
206,217,255,anomaly
132,139,88,normal
188,100,154,normal
171,184,230,anomaly
84,83,32,normal
233,215,78,normal
199,197,162,normal
145,162,213,anomaly
115,154,216,anomaly
172,171,121,normal
102,103,53,normal
164,162,114,normal
201,127,73,normal
182,180,132,normal
49,51,15,normal
80,83,34,normal
101,139,193,anomaly
35,37,8,normal
132,135,90,normal
147,145,87,normal
152,193,255,anomaly
0,128,0,normal
101,105,158,anomaly
178,176,128,normal
177,96,153,normal
144,181,237,anomaly
198,198,158,normal
102,105,55,normal
178,176,128,normal
138,138,92,normal
59,62,17,normal
54,54,54,normal
56,57,23,normal
15,14,10,normal
150,187,255,anomaly
94,94,40,normal
201,200,162,normal
121,120,62,normal
153,154,104,normal
120,120,120,normal
132,135,89,normal
42,206,219,normal
139,142,93,normal
181,178,133,normal
152,172,227,anomaly
181,181,141,normal
146,145,89,normal
167,166,115,normal
158,161,129,normal
182,182,136,normal
54,55,21,normal
61,63,21,normal
33,34,32,normal
142,139,88,normal
109,112,63,normal
178,175,131,normal
25,28,12,normal
58,60,24,normal
184,182,134,normal
179,177,129,normal
199,197,162,normal
92,90,36,normal
170,161,111,normal
139,138,87,normal
190,191,147,normal
157,195,253,anomaly
41,38,24,normal
40,94,154,anomaly
196,195,157,normal
190,189,145,normal
248,250,250,normal
69,70,28,normal
100,95,156,normal
159,162,123,normal
165,162,111,normal
155,158,109,normal
80,82,40,normal
169,167,119,normal
180,177,132,normal
109,150,212,anomaly
2,0,0,normal
201,199,164,normal
198,198,158,normal
153,157,121,normal
178,176,128,normal
85,27,22,normal
2,2,2,normal
233,172,162,normal
225,212,204,normal
63,68,23,normal
149,152,126,normal
255,254,255,normal
241,235,230,normal
128,255,255,normal
178,175,131,normal
150,151,101,normal
44,48,13,normal
162,104,85,normal
145,146,96,normal
178,176,128,normal
163,164,114,normal
63,127,191,anomaly
244,175,166,normal
197,196,158,normal
148,186,234,anomaly
50,50,14,normal
186,180,185,normal
199,197,162,normal
114,116,57,normal
107,119,231,normal
92,195,220,normal
178,175,131,normal
25,28,13,normal
67,69,23,normal
180,176,135,normal
185,183,143,normal
