wife_age,wife_edu,husband_edu,num_children,wife_religion,wife_working,husband_occupation,living_index,media_exposure,class
24,2,3,3,1,1,2,3,0,anomaly
45,1,3,10,1,1,3,4,0,anomaly
43,2,3,7,1,1,3,4,0,anomaly
42,3,2,9,1,1,3,3,0,anomaly
36,3,3,8,1,1,3,2,0,anomaly
19,4,4,0,1,1,3,3,0,anomaly
38,2,3,6,1,1,3,2,0,anomaly
21,3,3,1,1,0,3,2,0,anomaly
27,2,3,3,1,1,3,4,0,anomaly
45,1,1,8,1,1,2,2,1,anomaly
38,1,3,2,1,0,3,3,1,anomaly
42,1,4,4,1,1,1,3,0,anomaly
44,4,4,1,1,0,1,4,0,anomaly
42,2,4,1,1,0,3,3,0,anomaly
38,3,4,2,1,1,2,3,0,anomaly
26,2,4,0,1,1,4,1,0,anomaly
48,1,1,7,1,1,2,4,0,anomaly
39,2,2,6,1,1,2,4,0,anomaly
37,2,2,8,1,1,2,3,0,anomaly
39,2,1,5,1,1,2,1,1,anomaly
26,3,4,1,1,0,4,1,0,anomaly
24,3,4,0,1,0,3,1,0,anomaly
46,4,4,1,0,1,1,4,0,anomaly
39,4,4,1,1,1,1,4,0,anomaly
48,4,4,5,1,1,1,4,0,anomaly
40,2,4,8,1,1,3,3,0,anomaly
38,4,4,1,1,0,1,4,0,anomaly
29,4,4,0,1,0,1,4,0,anomaly
24,4,4,0,1,0,2,2,0,anomaly
43,1,2,8,1,1,2,4,0,anomaly
31,3,4,2,1,1,1,4,0,anomaly
31,4,4,2,1,1,3,2,0,anomaly
26,2,4,0,1,0,1,2,0,anomaly
33,2,2,2,1,1,3,1,0,anomaly
24,2,3,1,1,1,3,3,0,anomaly
42,1,3,9,1,1,3,2,1,anomaly
43,1,2,8,1,0,3,1,0,anomaly
25,3,3,4,1,1,3,2,0,anomaly
42,2,2,3,1,1,3,4,0,anomaly
28,2,2,1,1,1,2,4,0,anomaly
28,1,1,3,1,1,3,1,0,anomaly
47,2,3,0,1,0,1,3,0,anomaly
