Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,class
ADT1_YEAST,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,normal
ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,normal
ADT3_YEAST,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,normal
AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,normal
AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,normal
AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,normal
ABC1_YEAST,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,normal
BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,normal
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,normal
ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,normal
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,normal
ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,normal
ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,normal
ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,normal
ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,normal
ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,normal
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,normal
ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,normal
ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,normal
ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,normal
C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,normal
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,normal
PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,normal
ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,normal
ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,normal
ADH3_YEAST,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,normal
ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,normal
KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,normal
KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,normal
ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,normal
AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,normal
AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,normal
RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,normal
YMX1_YEAST,0.72,0.61,0.45,0.3,0.5,0.0,0.54,0.25,normal
SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,normal
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,normal
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,normal
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,normal
ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,normal
APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,normal
ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,normal
ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,normal
ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,normal
ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,normal
OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,normal
ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,normal
AR56_YEAST,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,normal
ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,normal
ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,normal
ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,normal
ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,normal
ARO1_YEAST,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,normal
AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,normal
AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,normal
AROG_YEAST,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,normal
CHMU_YEAST,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,normal
AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,normal
ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,normal
ATM1_YEAST,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,normal
ATPA_YEAST,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,normal
ATPY_YEAST,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,normal
ATPS_YEAST,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,normal
ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,normal
ATPU_YEAST,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,normal
ATPE_YEAST,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,normal
