buying,maint,doors,persons, lug_boot,safety,class
vhigh,vhigh,2,2,small,low,normal
vhigh,vhigh,2,2,small,med,normal
vhigh,vhigh,2,2,small,high,normal
vhigh,vhigh,2,2,med,low,normal
vhigh,vhigh,2,2,med,med,normal
vhigh,vhigh,2,2,med,high,normal
vhigh,vhigh,2,2,big,low,normal
vhigh,vhigh,2,2,big,med,normal
vhigh,vhigh,2,2,big,high,normal
vhigh,vhigh,2,4,small,low,normal
vhigh,vhigh,2,4,small,med,normal
vhigh,vhigh,2,4,small,high,normal
vhigh,vhigh,2,4,med,low,normal
vhigh,vhigh,2,4,med,med,normal
vhigh,vhigh,2,4,med,high,normal
vhigh,vhigh,2,4,big,low,normal
vhigh,vhigh,2,4,big,med,normal
vhigh,vhigh,2,4,big,high,normal
vhigh,vhigh,2,more,small,low,normal
vhigh,vhigh,2,more,small,med,normal
vhigh,vhigh,2,more,small,high,normal
vhigh,vhigh,2,more,med,low,normal
vhigh,vhigh,2,more,med,med,normal
vhigh,vhigh,2,more,med,high,normal
vhigh,vhigh,2,more,big,low,normal
vhigh,vhigh,2,more,big,med,normal
vhigh,vhigh,2,more,big,high,normal
vhigh,vhigh,3,2,small,low,normal
vhigh,vhigh,3,2,small,med,normal
vhigh,vhigh,3,2,small,high,normal
vhigh,vhigh,3,2,med,low,normal
vhigh,vhigh,3,2,med,med,normal
vhigh,vhigh,3,2,med,high,normal
vhigh,vhigh,3,2,big,low,normal
vhigh,vhigh,3,2,big,med,normal
vhigh,vhigh,3,2,big,high,normal
vhigh,vhigh,3,4,small,low,normal
vhigh,vhigh,3,4,small,med,normal
vhigh,vhigh,3,4,small,high,normal
vhigh,vhigh,3,4,med,low,normal
vhigh,vhigh,3,4,med,med,normal
vhigh,vhigh,3,4,med,high,normal
vhigh,vhigh,3,4,big,low,normal
vhigh,vhigh,3,4,big,med,normal
vhigh,vhigh,3,4,big,high,normal
vhigh,vhigh,3,more,small,low,normal
vhigh,vhigh,3,more,small,med,normal
vhigh,vhigh,3,more,small,high,normal
vhigh,vhigh,3,more,med,low,normal
vhigh,vhigh,3,more,med,med,normal
vhigh,vhigh,3,more,med,high,normal
vhigh,vhigh,3,more,big,low,normal
vhigh,vhigh,3,more,big,med,normal
vhigh,vhigh,3,more,big,high,normal
vhigh,vhigh,4,2,small,low,normal
vhigh,vhigh,4,2,small,med,normal
