age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30, Private,210851, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc,213745, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
26, Private,318934, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,237386, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
44, Private,182629, Masters,14, Divorced, Sales, Not-in-family, White, Male,0,0,24, Iran, <=50K
35, Private,117166, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
38, Private,165302, Some-college,10, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
39, State-gov,42186, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,3464,0,20, United-States, <=50K
54, Private,284952, 10th,6, Separated, Sales, Unmarried, White, Female,0,0,43, Italy, <=50K
62, Private,96099, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private,198759, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private,227886, HS-grad,9, Never-married, Exec-managerial, Own-child, Black, Female,0,0,35, Jamaica, <=50K
32, Private,391874, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc,184370, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
84, Local-gov,135839, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,14, United-States, <=50K
46, Private,194698, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,60, United-States, <=50K
67, Local-gov,342175, Masters,14, Divorced, Adm-clerical, Not-in-family, White, Female,2009,0,40, United-States, <=50K
23, Private,434467, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,42, United-States, <=50K
55, ?,123382, HS-grad,9, Separated, ?, Not-in-family, Black, Female,0,2001,40, United-States, <=50K
42, State-gov,404573, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
17, Private,99462, 11th,7, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
60, Private,170310, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,199883, 12th,8, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private,70034, 7th-8th,4, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Portugal, <=50K
31, Private,393357, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,48, United-States, <=50K
61, Private,223133, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, United-States, <=50K
40, State-gov,195520, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,49, United-States, <=50K
39, Private,257942, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov,269300, Some-college,10, Married-spouse-absent, Adm-clerical, Unmarried, Black, Female,0,0,27, United-States, <=50K
47, Private,137354, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Private,77266, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
30, Self-emp-not-inc,164190, Prof-school,15, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private,110998, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
31, ?,163890, Some-college,10, Never-married, ?, Unmarried, Black, Female,0,0,40, United-States, <=50K
19, Private,358631, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
50, Private,185354, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
33, Private,336061, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
25, ?,47011, Bachelors,13, Never-married, ?, Own-child, White, Male,0,0,20, United-States, <=50K
49, Private,149949, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,1876,40, United-States, <=50K
30, Private,59496, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,32950, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,199555, Assoc-voc,11, Never-married, Sales, Unmarried, White, Male,0,0,5, United-States, <=50K
28, Private,91299, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
