Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,1.0,0.6667,0.0202,0.0392,0.683,2
6,2.0,0.8333,0.0505,0.0952,0.683,5
9,3.0,0.6667,0.0606,0.1111,0.683,6
12,4.0,0.5833,0.0707,0.1261,0.683,7
15,5.0,0.6,0.0909,0.1579,0.683,9
18,6.0,0.6111,0.1111,0.188,0.683,11
21,7.0,0.5714,0.1212,0.2,0.683,12
24,8.0,0.5833,0.1414,0.2276,0.683,14
27,9.0,0.5556,0.1515,0.2381,0.683,15
30,10.0,0.6,0.1818,0.2791,0.683,18
45,15.0,0.4889,0.2222,0.3056,0.683,22
60,20.0,0.4667,0.2828,0.3522,0.683,28
75,25.0,0.44,0.3333,0.3793,0.683,33
90,30.0,0.4667,0.4242,0.4444,0.683,42
105,35.0,0.4571,0.4848,0.4706,0.683,48
120,40.0,0.4583,0.5556,0.5023,0.683,55
135,45.0,0.4519,0.6162,0.5214,0.683,61
150,50.0,0.4667,0.7071,0.5622,0.683,70
180,60.0,0.4278,0.7778,0.552,0.683,77
210,70.0,0.4048,0.8586,0.5502,0.683,85
240,80.0,0.3917,0.9495,0.5546,0.683,94
270,90.0,0.363,0.9899,0.5312,0.683,98
300,100.0,0.33,1.0,0.4962,0.683,99
