Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
15,0.94,0.1333,0.0247,0.0417,0.629,2
31,1.94,0.129,0.0494,0.0714,0.629,4
47,2.94,0.1064,0.0617,0.0781,0.629,5
63,3.94,0.1429,0.1111,0.125,0.629,9
79,4.94,0.1392,0.1358,0.1375,0.629,11
95,5.94,0.1579,0.1852,0.1705,0.629,15
111,6.94,0.1712,0.2346,0.1979,0.629,19
127,7.94,0.1496,0.2346,0.1827,0.629,19
143,8.94,0.1608,0.284,0.2054,0.629,23
159,9.94,0.1572,0.3086,0.2083,0.629,25
239,14.95,0.1255,0.3704,0.1875,0.629,30
319,19.95,0.1097,0.4321,0.175,0.629,35
399,24.95,0.0977,0.4815,0.1625,0.629,39
479,29.96,0.096,0.5679,0.1643,0.629,46
559,34.96,0.0841,0.5802,0.1469,0.629,47
639,39.96,0.0782,0.6173,0.1389,0.629,50
719,44.97,0.0709,0.6296,0.1275,0.629,51
799,49.97,0.0676,0.6667,0.1227,0.629,54
959,59.97,0.0584,0.6914,0.1077,0.629,56
1119,69.98,0.0572,0.7901,0.1067,0.629,64
1279,79.99,0.0524,0.8272,0.0985,0.629,67
1439,89.99,0.0479,0.8519,0.0908,0.629,69
1599,100.0,0.0507,1.0,0.0964,0.629,81
