Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
9,0.94,0.3333,0.0067,0.0132,0.3401,3
19,1.98,0.3158,0.0135,0.0259,0.3401,6
28,2.91,0.3929,0.0247,0.0465,0.3401,11
38,3.95,0.4211,0.036,0.0663,0.3401,16
48,4.99,0.3958,0.0427,0.0771,0.3401,19
57,5.93,0.3509,0.0449,0.0797,0.3401,20
67,6.97,0.3284,0.0494,0.0859,0.3401,22
76,7.91,0.3421,0.0584,0.0998,0.3401,26
86,8.95,0.3488,0.0674,0.113,0.3401,30
96,9.99,0.3542,0.0764,0.1257,0.3401,34
144,14.98,0.2778,0.0899,0.1358,0.3401,40
192,19.98,0.3021,0.1303,0.1821,0.3401,58
240,24.97,0.3667,0.1978,0.2569,0.3401,88
288,29.97,0.3681,0.2382,0.2892,0.3401,106
336,34.96,0.3631,0.2742,0.3124,0.3401,122
384,39.96,0.3281,0.2831,0.304,0.3401,126
432,44.95,0.3241,0.3146,0.3193,0.3401,140
480,49.95,0.3187,0.3438,0.3308,0.3401,153
576,59.94,0.3924,0.5079,0.4427,0.3401,226
672,69.93,0.372,0.5618,0.4476,0.3401,250
768,79.92,0.3854,0.6652,0.488,0.3401,296
864,89.91,0.4294,0.8337,0.5668,0.3401,371
961,100.0,0.4631,1.0,0.633,0.3401,445
