Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.87,0.0,0.0,0.0,0.4187,0
13,1.88,0.3077,0.0104,0.0202,0.4187,4
20,2.9,0.2,0.0104,0.0199,0.4187,4
27,3.91,0.2593,0.0183,0.0341,0.4187,7
34,4.93,0.2941,0.0261,0.048,0.4187,10
41,5.94,0.3659,0.0392,0.0708,0.4187,15
48,6.96,0.4167,0.0522,0.0928,0.4187,20
55,7.97,0.4545,0.0653,0.1142,0.4187,25
62,8.99,0.4355,0.0705,0.1213,0.4187,27
69,10.0,0.4638,0.0836,0.1416,0.4187,32
103,14.93,0.4757,0.1279,0.2016,0.4187,49
138,20.0,0.4783,0.1723,0.2534,0.4187,66
172,24.93,0.4884,0.2193,0.3027,0.4187,84
207,30.0,0.4976,0.2689,0.3492,0.4187,103
241,34.93,0.4896,0.3081,0.3782,0.4187,118
276,40.0,0.4964,0.3577,0.4158,0.4187,137
310,44.93,0.4968,0.4021,0.4444,0.4187,154
345,50.0,0.4899,0.4413,0.4643,0.4187,169
414,60.0,0.5072,0.5483,0.527,0.4187,210
483,70.0,0.5197,0.6554,0.5797,0.4187,251
552,80.0,0.529,0.7624,0.6246,0.4187,292
621,90.0,0.5427,0.8799,0.6713,0.4187,337
690,100.0,0.5551,1.0,0.7139,0.4187,383
