Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
20,0.97,0.6,0.0313,0.0596,0.6946,12
41,2.0,0.6341,0.0679,0.1226,0.6946,26
61,2.97,0.6393,0.1018,0.1757,0.6946,39
82,4.0,0.622,0.1332,0.2194,0.6946,51
102,4.97,0.6078,0.1619,0.2557,0.6946,62
123,5.99,0.5772,0.1854,0.2806,0.6946,71
143,6.97,0.5734,0.2141,0.3118,0.6946,82
164,7.99,0.5671,0.2428,0.34,0.6946,93
184,8.97,0.5489,0.2637,0.3563,0.6946,101
205,9.99,0.5366,0.2872,0.3741,0.6946,110
307,14.96,0.456,0.3655,0.4058,0.6946,140
410,19.98,0.3927,0.4204,0.4061,0.6946,161
513,25.0,0.3509,0.47,0.4018,0.6946,180
615,29.97,0.3285,0.5274,0.4048,0.6946,202
718,34.99,0.3134,0.5875,0.4087,0.6946,225
820,39.96,0.3012,0.6449,0.4106,0.6946,247
923,44.98,0.2795,0.6736,0.3951,0.6946,258
1026,50.0,0.2632,0.705,0.3833,0.6946,270
1231,59.99,0.2396,0.7702,0.3656,0.6946,295
1436,69.98,0.2208,0.8277,0.3485,0.6946,317
1641,79.97,0.2121,0.9086,0.3439,0.6946,348
1846,89.96,0.2021,0.9739,0.3347,0.6946,373
2052,100.0,0.1866,1.0,0.3146,0.6946,383
