Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
100,1.0,0.3,0.1807,0.2256,0.8187,30
200,2.0,0.205,0.247,0.224,0.8187,41
300,3.0,0.1767,0.3193,0.2275,0.8187,53
400,4.0,0.1525,0.3675,0.2155,0.8187,61
500,5.0,0.132,0.3976,0.1982,0.8187,66
600,6.0,0.1133,0.4096,0.1775,0.8187,68
700,7.0,0.1029,0.4337,0.1663,0.8187,72
800,8.0,0.0925,0.4458,0.1532,0.8187,74
900,9.0,0.0856,0.4639,0.1445,0.8187,77
1000,10.0,0.079,0.4759,0.1355,0.8187,79
1500,15.0,0.066,0.5964,0.1188,0.8187,99
2000,20.0,0.054,0.6506,0.0997,0.8187,108
2500,25.0,0.0464,0.6988,0.087,0.8187,116
3000,30.0,0.0417,0.753,0.079,0.8187,125
3500,35.0,0.0369,0.7771,0.0704,0.8187,129
4000,40.0,0.0345,0.8313,0.0663,0.8187,138
4500,45.0,0.0313,0.8494,0.0604,0.8187,141
5000,50.0,0.029,0.8735,0.0561,0.8187,145
6000,60.0,0.0267,0.9639,0.0519,0.8187,160
7000,70.0,0.0231,0.9759,0.0452,0.8187,162
8000,80.0,0.0208,1.0,0.0407,0.8187,166
9000,90.0,0.0184,1.0,0.0362,0.8187,166
10000,100.0,0.0166,1.0,0.0327,0.8187,166
