Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.76,0.0,0.0,0.0,0.6412,0
7,1.77,0.2857,0.069,0.1111,0.6412,2
11,2.78,0.2727,0.1034,0.15,0.6412,3
15,3.8,0.2,0.1034,0.1364,0.6412,3
19,4.81,0.1579,0.1034,0.125,0.6412,3
23,5.82,0.1304,0.1034,0.1154,0.6412,3
27,6.84,0.1111,0.1034,0.1071,0.6412,3
31,7.85,0.129,0.1379,0.1333,0.6412,4
35,8.86,0.1143,0.1379,0.125,0.6412,4
39,9.87,0.1026,0.1379,0.1176,0.6412,4
59,14.94,0.1186,0.2414,0.1591,0.6412,7
79,20.0,0.1139,0.3103,0.1667,0.6412,9
98,24.81,0.102,0.3448,0.1575,0.6412,10
118,29.87,0.1102,0.4483,0.1769,0.6412,13
138,34.94,0.1087,0.5172,0.1796,0.6412,15
158,40.0,0.1139,0.6207,0.1925,0.6412,18
177,44.81,0.113,0.6897,0.1942,0.6412,20
197,49.87,0.1015,0.6897,0.177,0.6412,20
237,60.0,0.0928,0.7586,0.1654,0.6412,22
276,69.87,0.0906,0.8621,0.1639,0.6412,25
316,80.0,0.0854,0.931,0.1565,0.6412,27
355,89.87,0.0817,1.0,0.151,0.6412,29
395,100.0,0.0734,1.0,0.1368,0.6412,29
