Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
63,0.99,0.0794,0.0099,0.0176,0.4851,5
127,1.99,0.0551,0.0139,0.0222,0.4851,7
191,3.0,0.0681,0.0258,0.0374,0.4851,13
254,3.99,0.0591,0.0298,0.0396,0.4851,15
318,4.99,0.0597,0.0377,0.0462,0.4851,19
382,5.99,0.0602,0.0456,0.0519,0.4851,23
446,7.0,0.0583,0.0516,0.0547,0.4851,26
509,7.99,0.0589,0.0595,0.0592,0.4851,30
573,8.99,0.0646,0.0734,0.0687,0.4851,37
637,10.0,0.0691,0.0873,0.0771,0.4851,44
955,14.99,0.0743,0.1409,0.0973,0.4851,71
1274,19.99,0.0785,0.1984,0.1125,0.4851,100
1593,25.0,0.0778,0.246,0.1183,0.4851,124
1911,29.99,0.0759,0.2877,0.1201,0.4851,145
2230,35.0,0.0726,0.3214,0.1185,0.4851,162
2548,39.99,0.0754,0.381,0.1258,0.4851,192
2867,44.99,0.0785,0.4464,0.1335,0.4851,225
3186,50.0,0.081,0.5119,0.1398,0.4851,258
3823,60.0,0.0785,0.5952,0.1387,0.4851,300
4460,69.99,0.0771,0.6825,0.1386,0.4851,344
5097,79.99,0.0759,0.7679,0.1382,0.4851,387
5734,89.99,0.0767,0.873,0.1411,0.4851,440
6372,100.0,0.0791,1.0,0.1466,0.4851,504
