Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
48,0.98,0.2292,0.0303,0.0535,0.6187,11
97,1.98,0.2268,0.0606,0.0957,0.6187,22
146,2.98,0.2329,0.0937,0.1336,0.6187,34
195,3.98,0.2154,0.1157,0.1505,0.6187,42
244,4.98,0.2172,0.146,0.1746,0.6187,53
293,5.98,0.2014,0.1625,0.1799,0.6187,59
342,6.98,0.1901,0.1791,0.1844,0.6187,65
391,7.98,0.1944,0.2094,0.2016,0.6187,76
440,8.98,0.1864,0.2259,0.2042,0.6187,82
489,9.98,0.1779,0.2397,0.2042,0.6187,87
734,14.99,0.1635,0.3306,0.2188,0.6187,120
979,19.99,0.141,0.3802,0.2057,0.6187,138
1224,24.99,0.1275,0.4298,0.1966,0.6187,156
1469,29.99,0.1171,0.4738,0.1878,0.6187,172
1714,34.99,0.1091,0.5152,0.1801,0.6187,187
1959,40.0,0.1036,0.5592,0.1748,0.6187,203
2204,45.0,0.0989,0.6006,0.1698,0.6187,218
2449,50.0,0.0935,0.6309,0.1629,0.6187,229
2938,59.98,0.0858,0.6942,0.1527,0.6187,252
3428,69.99,0.0826,0.7796,0.1493,0.6187,283
3918,79.99,0.0799,0.8623,0.1462,0.6187,313
4408,90.0,0.0778,0.9449,0.1438,0.6187,343
4898,100.0,0.0741,1.0,0.138,0.6187,363
