Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
580,1.0,0.8017,0.0468,0.0885,0.9975,465
1160,2.0,0.8026,0.0937,0.1679,0.9975,931
1740,3.0,0.7954,0.1394,0.2372,0.9975,1384
2320,4.0,0.8004,0.187,0.3032,0.9975,1857
2900,5.0,0.7979,0.233,0.3607,0.9975,2314
3480,6.0,0.794,0.2782,0.412,0.9975,2763
4060,7.0,0.7933,0.3243,0.4604,0.9975,3221
4640,8.0,0.7961,0.372,0.507,0.9975,3694
5220,9.0,0.7944,0.4176,0.5474,0.9975,4147
5800,10.0,0.795,0.4643,0.5862,0.9975,4611
8700,15.0,0.7991,0.7,0.7463,0.9975,6952
11600,20.0,0.7993,0.9336,0.8613,0.9975,9272
14500,25.0,0.6817,0.9954,0.8092,0.9975,9885
17400,30.0,0.5684,0.996,0.7238,0.9975,9891
20300,35.0,0.4875,0.9965,0.6547,0.9975,9896
23200,40.0,0.4268,0.997,0.5977,0.9975,9901
26100,45.0,0.3795,0.9973,0.5497,0.9975,9904
29000,50.0,0.3416,0.9974,0.5088,0.9975,9905
34800,60.0,0.2847,0.9978,0.443,0.9975,9909
40600,70.0,0.2442,0.9982,0.3924,0.9975,9913
46400,80.0,0.2137,0.9986,0.3521,0.9975,9917
52200,90.0,0.19,0.9988,0.3193,0.9975,9919
58000,100.0,0.1712,1.0,0.2924,0.9975,9931
