Dataset,ADFNR,DASOD,GCN,GCN-LOF,NMIGOD,NIEOD
adult,0.0791,0.0901,0.3757,0.0804,0.2034,0.0917
arrhythmia,0.4872,0.4699,0.1701,0.125,0.1447,0.4457
bank,0.2308,0.2669,0.3554,0.1317,0.2374,0.1946
bank-full,0.1213,0.1217,0.2862,0.1146,0.3343,0.1188
banknote,0.3679,0.4031,1.0,0.1382,0.9714,0.2139
breast-cancer,0.8542,0.8837,0.7619,0.1143,0.825,0.7885
car,0.0775,0.0775,0.8837,0.1605,0.7436,0.0775
chess,0.3848,0.3981,0.7239,0.1857,0.8631,0.3704
credit,0.3788,0.3201,0.681,0.25,0.8481,0.3198
diabetes,0.2793,0.2733,1.0,0.2059,1.0,0.2682
german,0.1856,0.1753,0.1507,0.1227,0.4194,0.1782
glass,0.2561,0.2685,0.6538,0.3571,0.4068,0.2632
horse,0.4432,0.4727,0.4314,0.3412,0.5263,0.4596
iris,0.9091,0.8333,1.0,0.6154,1.0,0.8333
mushroom,0.1375,0.2472,0.608,0.1026,0.6039,0.1197
nursery,0.0255,0.096,0.8211,0.0406,0.8323,0.0255
parkinsons,0.4375,0.2487,0.76,0.6111,0.7143,0.2733
raisin,0.5667,0.8519,0.875,0.0865,0.8333,0.6857
student-mat,0.1471,0.1328,0.1333,0.0843,0.0797,0.1522
wine,0.5185,0.551,1.0,0.2019,1.0,0.6829
wine-red,0.0878,0.0974,0.0528,0.0615,0.1463,0.1124
wine-white,0.1731,0.1071,0.1132,0.0757,0.1412,0.1342
yeast,0.4167,0.0833,0.0044,0.0043,0.0043,0.3333
zoo,0.3333,0.4737,0.6087,0.2381,0.3514,0.3889
Average,0.3291,0.3310,0.5604,0.1854,0.5513,0.3138
