dataset,algorithm,F1-Score
adult,GCN-LOF,0.4626
bank-full,NMIGOD,0.4624
banknote,NMIGOD,0.7552
breast-cancer,ADFNR,0.9213
car,NMIGOD,0.91
chess,NMIGOD,0.9121
cmc,NMIGOD,0.6272
credit,GCN-LOF,0.7526
dermatology,NMIGOD,0.9913
diabetes,NMIGOD,0.7097
german,GCN-LOF,0.3485
glass,GCN-LOF,0.6118
hcv_v2,GCN,0.8722
heart,NMIGOD,0.7805
horse,DASOD,0.5923
ilpd,ADFNR,0.8359
iris,GCN,0.9677
kr_vs_kp,NMIGOD,0.9329
mammographic_mass,GCN-LOF,0.7902
mushroom,GCN,0.7298
nursery,GCN,0.8885
parkinsons,GCN,0.6182
raisin,DASOD,0.6866
statlog_australian_v2,NMIGOD,0.8727
student-mat,NIEOD,0.2171
wine,NIEOD,0.75
wine-red,ADFNR,0.1512
wine-white,GCN-LOF,0.24
yeast,ADFNR,0.5882
zoo,GCN-LOF,0.7222
