Dataset,Top_K%,ADFNR_P,ADFNR_R,DASOD_P,DASOD_R,GCN_P,GCN_R,GCN-LOF_P,GCN-LOF_R,NIEOD_P,NIEOD_R,NMIGOD_P,NMIGOD_R
banknote,1,1,0.0727,1,0.0727,0.625,0.0568,0.625,0.0568,1,0.0727,0.875,0.0795
banknote,3,0.6923,0.1636,0.8462,0.2,0.7692,0.2273,0.7692,0.2273,0.8462,0.2,0.8462,0.25
banknote,5,0.5349,0.2091,0.5349,0.2091,0.7674,0.375,0.7442,0.3636,0.5814,0.2273,0.7907,0.3864
banknote,10,0.3846,0.2727,0.4615,0.3273,0.7692,0.6818,0.7821,0.6932,0.3846,0.2727,0.7308,0.6477
banknote,20,0.2816,0.4455,0.3276,0.5182,0.5,0.9886,0.4943,0.9773,0.2356,0.3727,0.4885,0.9659
banknote,30,0.2107,0.5,0.2375,0.5636,0.3372,1,0.3372,1,0.2146,0.5091,0.3295,0.9773
banknote,50,0.1743,0.6909,0.195,0.7727,0.2018,1,0.2018,1,0.211,0.8364,0.2018,1
banknote,Average,0.4683,0.3364,0.5147,0.3805,0.5671,0.6185,0.5648,0.6169,0.4962,0.3558,0.6089,0.6153
breast-cancer,1,1,0.0976,1,0.0976,0.5,0.0606,0.75,0.0909,1,0.0976,0.75,0.0909
breast-cancer,3,1,0.3415,1,0.3415,0.7857,0.3333,0.7857,0.3333,1,0.3415,0.7143,0.303
breast-cancer,5,1,0.561,0.9565,0.5366,0.7826,0.5455,0.6957,0.4848,0.9565,0.5366,0.7391,0.5152
breast-cancer,10,0.881,0.9024,0.881,0.9024,0.6905,0.8788,0.6905,0.8788,0.8571,0.878,0.6667,0.8485
breast-cancer,20,0.4409,1,0.4409,1,0.3548,1,0.3548,1,0.4409,1,0.3548,1
breast-cancer,30,0.2929,1,0.2929,1,0.2357,1,0.2357,1,0.2929,1,0.2357,1
breast-cancer,50,0.1752,1,0.1752,1,0.141,1,0.141,1,0.1752,1,0.141,1
breast-cancer,Average,0.6843,0.7004,0.6781,0.6969,0.4986,0.6883,0.5219,0.684,0.6747,0.6934,0.5145,0.6797
glass,1,0,0,0.5,0.0256,0.5,0.0323,1,0.0645,0.5,0.0256,0,0
glass,3,0.6667,0.1026,0.6667,0.1026,0.3333,0.0645,0.8333,0.1613,0.5,0.0769,0.3333,0.0645
glass,5,0.4,0.1026,0.4,0.1026,0.3,0.0968,0.7,0.2258,0.4,0.1026,0.3,0.0968
glass,10,0.2632,0.1282,0.2105,0.1026,0.3684,0.2258,0.5263,0.3226,0.2632,0.1282,0.4737,0.2903
glass,20,0.2143,0.2308,0.2381,0.2564,0.3571,0.4839,0.4524,0.6129,0.2381,0.2564,0.4524,0.6129
glass,30,0.2656,0.4359,0.2344,0.3846,0.3281,0.6774,0.3906,0.8065,0.25,0.4103,0.3594,0.7419
glass,50,0.215,0.5897,0.2617,0.7179,0.271,0.9355,0.2897,1,0.2056,0.5641,0.2617,0.9032
glass,Average,0.2893,0.2271,0.3588,0.2418,0.3511,0.3595,0.5989,0.4562,0.3367,0.2234,0.3115,0.3871
horse,1,0.6667,0.0202,0.6667,0.0202,0.3333,0.0127,0,0,0.6667,0.0202,0,0
horse,3,0.6667,0.0606,0.6667,0.0606,0.3333,0.038,0.3333,0.038,0.6667,0.0606,0.1111,0.0127
horse,5,0.6667,0.101,0.8,0.1212,0.5333,0.1013,0.3333,0.0633,0.6,0.0909,0.0667,0.0127
horse,10,0.5926,0.1616,0.6296,0.1717,0.4444,0.1519,0.3704,0.1266,0.5556,0.1515,0.3333,0.1139
horse,20,0.45,0.2727,0.55,0.3333,0.45,0.3418,0.4333,0.3291,0.4667,0.2828,0.4167,0.3165
horse,30,0.4778,0.4343,0.4889,0.4444,0.3778,0.4304,0.4,0.4557,0.4667,0.4242,0.4222,0.481
horse,50,0.4667,0.7071,0.48,0.7273,0.3333,0.6329,0.3,0.5696,0.46,0.697,0.3667,0.6962
horse,Average,0.5696,0.2511,0.6117,0.2684,0.4008,0.2441,0.31,0.226,0.5546,0.2467,0.2452,0.2333
iris,1,1,0.05,0,0,1,0.0625,0,0,1,0.05,1,0.0625
iris,3,1,0.15,0.3333,0.05,1,0.1875,0.6667,0.125,1,0.15,1,0.1875
iris,5,1,0.3,0.6667,0.2,0.8333,0.3125,0.8333,0.3125,0.8333,0.25,1,0.375
iris,10,1,0.6,0.8333,0.5,0.8333,0.625,0.8333,0.625,0.8333,0.5,0.9167,0.6875
