Dataset,Top_K%,ADFNR_P,ADFNR_R,DASOD_P,DASOD_R,GCN_P,GCN_R,GCN-LOF_P,GCN-LOF_R,NIEOD_P,NIEOD_R,NMIGOD_P,NMIGOD_R
adult,1,0.0794,0.0099,0.0952,0.0119,0.7778,0.1216,0.6984,0.1092,0.0952,0.0119,0.3492,0.0546
adult,3,0.0681,0.0258,0.0838,0.0317,0.5393,0.2556,0.4974,0.2357,0.1204,0.0456,0.3508,0.1663
adult,5,0.0597,0.0377,0.0881,0.0556,0.4025,0.3176,0.4308,0.34,0.1101,0.0694,0.3333,0.263
adult,10,0.0646,0.0734,0.0803,0.0913,0.3037,0.4318,0.3543,0.5037,0.0995,0.1131,0.2914,0.4144
adult,20,0.0785,0.1984,0.0801,0.2024,0.2182,0.6898,0.2268,0.7171,0.1013,0.256,0.2033,0.6427
adult,30,0.0759,0.2877,0.0863,0.3274,0.1727,0.8189,0.1805,0.8561,0.0937,0.3552,0.1758,0.8337
adult,50,0.081,0.5119,0.0885,0.5595,0.1205,0.9529,0.1227,0.9702,0.0885,0.5595,0.1218,0.9628
adult,Average,0.0725,0.1635,0.086,0.1828,0.3621,0.5126,0.3587,0.5331,0.1012,0.2015,0.2608,0.4768
bank-full,1,0,0,0.0833,0.009,0.3833,0.0519,0.5667,0.0767,0.1,0.0108,0.6,0.0813
bank-full,3,0.0714,0.0235,0.1154,0.0379,0.3022,0.1242,0.456,0.1874,0.1209,0.0397,0.5,0.2054
bank-full,5,0.0921,0.0505,0.0987,0.0542,0.3026,0.2077,0.4013,0.2754,0.1151,0.0632,0.4408,0.3025
bank-full,10,0.0967,0.0957,0.1095,0.1083,0.2664,0.3296,0.3321,0.4108,0.135,0.1336,0.3759,0.465
bank-full,20,0.0984,0.2166,0.1198,0.2635,0.2281,0.6275,0.2354,0.6479,0.1214,0.2671,0.2781,0.7652
bank-full,30,0.1148,0.3791,0.1268,0.4188,0.1903,0.7856,0.1881,0.7765,0.1203,0.3971,0.2209,0.912
bank-full,50,0.122,0.6715,0.1197,0.6588,0.1351,0.93,0.1361,0.9368,0.1174,0.6462,0.1453,1
bank-full,Average,0.0851,0.2053,0.1105,0.2215,0.2583,0.4366,0.3308,0.4731,0.1186,0.2225,0.3659,0.5331
car,1,0.5882,0.0746,0,0,0.5294,0.0841,0.5294,0.0841,0.5882,0.0746,0.6471,0.1028
car,3,0.1961,0.0746,0,0,0.7451,0.3551,0.7059,0.3364,0.1961,0.0746,0.6078,0.2897
car,5,0.1163,0.0746,0,0,0.7093,0.5701,0.686,0.5514,0.1163,0.0746,0.6977,0.5607
car,10,0.0645,0.0746,0,0,0.6323,0.9159,0.6258,0.9065,0.0645,0.0746,0.6581,0.9533
car,20,0.029,0.0746,0,0,0.3101,1,0.3101,1,0.029,0.0746,0.3101,1
car,30,0.0193,0.0746,0,0,0.2066,1,0.2066,1,0.0193,0.0746,0.2066,1
car,50,0.0116,0.0746,0.0023,0.0149,0.1238,1,0.1238,1,0.0116,0.0746,0.1238,1
car,Average,0.1464,0.0746,0.0003,0.0021,0.4652,0.7036,0.4554,0.6969,0.1464,0.0746,0.4645,0.7009
cmc,1,0.7857,0.0175,0.8571,0.0191,0.8571,0.0239,0.5714,0.0159,0.9286,0.0207,0.7857,0.0219
cmc,3,0.75,0.0525,0.75,0.0525,0.6136,0.0537,0.6364,0.0557,0.7955,0.0556,0.7045,0.0616
cmc,5,0.7397,0.0859,0.7534,0.0874,0.6027,0.0875,0.6438,0.0934,0.726,0.0843,0.6986,0.1014
cmc,10,0.7045,0.1479,0.697,0.1463,0.5985,0.1571,0.5985,0.1571,0.7273,0.1526,0.6212,0.163
cmc,20,0.568,0.2655,0.6088,0.2846,0.5578,0.326,0.551,0.3221,0.602,0.2814,0.5374,0.3141
cmc,30,0.5329,0.3736,0.5306,0.372,0.4989,0.4374,0.5125,0.4493,0.5442,0.3816,0.4853,0.4254
cmc,50,0.4932,0.5771,0.5027,0.5882,0.4416,0.6461,0.4701,0.6879,0.5095,0.5962,0.4579,0.67
