Dataset,Top_K%,ADFNR_P,ADFNR_R,DASOD_P,DASOD_R,GCN_P,GCN_R,GCN-LOF_P,GCN-LOF_R,NIEOD_P,NIEOD_R,NMIGOD_P,NMIGOD_R
chess,1,0.35,0.0183,0.55,0.0287,0.75,0.049,0.95,0.0621,0.35,0.0183,0.75,0.049
chess,3,0.5902,0.094,0.623,0.0992,0.7869,0.1569,0.8033,0.1601,0.5574,0.0888,0.7213,0.1438
chess,5,0.5686,0.1514,0.6078,0.1619,0.7941,0.2647,0.7941,0.2647,0.5588,0.1488,0.7059,0.2353
chess,10,0.5,0.2402,0.5489,0.2637,0.7935,0.4771,0.7663,0.4608,0.4946,0.2376,0.7283,0.4379
chess,20,0.439,0.47,0.461,0.4935,0.6341,0.8497,0.6341,0.8497,0.4439,0.4752,0.6902,0.9248
chess,30,0.4049,0.6501,0.4211,0.6762,0.465,0.9346,0.4764,0.9575,0.4049,0.6501,0.4862,0.9771
chess,50,0.3519,0.9426,0.347,0.9295,0.2934,0.9837,0.2963,0.9935,0.3548,0.9504,0.2953,0.9902
chess,Average,0.4578,0.3667,0.5084,0.379,0.6453,0.5308,0.6744,0.5355,0.4521,0.367,0.6253,0.5369
mushroom,1,0,0,0,0,0.7531,0.0894,0.7654,0.0909,0,0,0.7037,0.0836
mushroom,3,0.0617,0.0176,0.0288,0.0082,0.7654,0.2727,0.7654,0.2727,0.0535,0.0153,0.7449,0.2654
mushroom,5,0.234,0.1115,0.2094,0.0998,0.6601,0.393,0.6502,0.3871,0.2167,0.1033,0.6502,0.3871
mushroom,10,0.186,0.1596,0.2558,0.2195,0.5226,0.5601,0.5431,0.5821,0.1669,0.1432,0.5171,0.5543
mushroom,20,0.1355,0.2582,0.274,0.5223,0.42,1,0.42,1,0.1115,0.2124,0.42,1
mushroom,30,0.1202,0.3439,0.2376,0.6796,0.2799,1,0.2799,1,0.1112,0.3181,0.2799,1
mushroom,50,0.1327,0.6326,0.1704,0.8122,0.1679,1,0.1679,1,0.1216,0.5798,0.1679,1
mushroom,Average,0.1243,0.2176,0.168,0.3345,0.5099,0.6165,0.5131,0.619,0.1116,0.196,0.4977,0.6129
nursery,1,0.1395,0.0545,0,0,0.8062,0.3939,0.7674,0.375,0,0,0.7519,0.3674
nursery,3,0.1031,0.1212,0,0,0.6649,0.9773,0.5747,0.8447,0,0,0.6314,0.928
nursery,5,0.0864,0.1697,0,0,0.4074,1,0.3951,0.9697,0,0,0.4074,1
nursery,10,0.0866,0.3061,0,0,0.2264,1,0.2256,0.9962,0,0,0.2264,1
nursery,20,0.0748,0.5879,0.0089,0.0697,0.1019,1,0.1019,1,0,0,0.1019,1
nursery,30,0.0499,0.5879,0.0134,0.1576,0.0679,1,0.0679,1,0,0,0.0679,1
nursery,50,0.0503,0.9879,0.021,0.4121,0.0407,1,0.0407,1,0,0,0.0407,1
nursery,Average,0.0844,0.4022,0.0062,0.0913,0.3308,0.9102,0.3105,0.8837,0,0,0.3182,0.8993
zoo,1,1,0.0588,1,0.0588,1,0.0714,0,0,1,0.0588,0,0
zoo,3,0.6667,0.1176,0.3333,0.0588,1,0.2143,0.3333,0.0714,0.6667,0.1176,0.3333,0.0714
zoo,5,0.4,0.1176,0.4,0.1176,0.8,0.2857,0.4,0.1429,0.4,0.1176,0.6,0.2143
zoo,10,0.2222,0.1176,0.2222,0.1176,0.6667,0.4286,0.6667,0.4286,0.2222,0.1176,0.7778,0.5
zoo,20,0.3,0.3529,0.45,0.5294,0.7,1,0.5,0.7143,0.3,0.3529,0.6,0.8571
zoo,30,0.2333,0.4118,0.3,0.5294,0.4667,1,0.4667,1,0.2333,0.4118,0.4333,0.9286
zoo,50,0.2,0.5882,0.2,0.5882,0.28,1,0.28,1,0.2,0.5882,0.28,1
zoo,Average,0.4317,0.2521,0.4151,0.2857,0.7019,0.5714,0.3781,0.4796,0.4317,0.2521,0.4321,0.5102
