,ADFNR,DASOD,GCN,GCN-LOF,NIEOD,NMIGOD
abalone,0.7845,0.752,0.887,0.9001,0.7909,0.8614
abl_full_diabetes,,,,,,0.9794
abl_full_glass,,,,,,0.8838
abl_full_iris,,,,,,1.0
abl_full_wine,,,,,,1.0
abl_noAda_diabetes,,,,,,0.9789
abl_noAda_glass,,,,,,0.8515
abl_noAda_iris,,,,,,1.0
abl_noAda_wine,,,,,,1.0
adult,0.4851,0.5294,0.8695,0.8871,0.5461,0.8578
arrhythmia,0.8138,0.8121,0.7898,0.7458,0.8074,0.7335
bank,0.6725,0.7674,0.813,0.8165,0.7251,0.705
bank-full,0.6052,0.6166,0.8302,0.8492,0.6094,0.9081
banknote,0.7063,0.7516,0.9974,0.9957,0.7518,0.9858
breast-cancer,0.9975,0.9961,0.9943,0.9942,0.9953,0.9954
car,0.5,0.1364,0.9942,0.9918,0.5,0.9958
chess,0.8302,0.8351,0.9672,0.9752,0.8305,0.9853
cmc,0.6099,0.6039,0.6771,0.7182,0.6244,0.6976
covertype,,,0.8316,0.7975,0.6148,0.8187
credit,0.6736,0.586,0.8979,0.9388,0.5652,0.9249
diabetes,0.7385,0.7344,0.9889,0.976,0.7268,0.9761
german,0.5821,0.5967,0.6468,0.7161,0.5974,0.6881
glass,0.5895,0.5948,0.8138,0.8954,0.5716,0.8584
gs_diabetes,0.7385,0.7344,,,0.6778,
gs_glass,0.5895,0.5948,,,0.5716,
gs_iris,0.9985,0.971,,,0.979,
gs_wine,0.9005,0.8736,,,0.9287,
heart,0.6567,0.6749,0.792,0.817,0.6759,0.862
hepatitis,0.7645,0.7988,0.7555,0.8022,0.779,0.7877
horse,0.6948,0.7097,0.6293,0.573,0.6912,0.7086
iris,0.9985,0.971,1.0,1.0,0.979,1.0
mushroom,0.5959,,0.9713,0.9734,0.5685,0.9709
nursery,0.5,,0.9992,0.9961,0.158,0.9981
parkinsons,0.5903,0.3339,0.9264,0.9277,0.497,0.8631
raisin,0.8578,0.8459,0.8944,0.9069,0.8706,0.9282
skin,0.5369,0.4714,0.9995,0.9983,0.5792,
student-mat,0.643,0.6837,0.4618,0.4562,0.68,0.5419
wine,0.9005,0.8736,1.0,1.0,0.9287,1.0
wine-red,0.6352,0.5715,0.5953,0.6194,0.6166,0.6818
wine-white,0.6469,0.5967,0.647,0.6862,0.6261,0.6635
yeast,0.9982,0.8808,0.9972,0.9986,0.9965,0.9983
zoo,0.5343,0.6211,0.9808,0.9456,0.542,0.9542
Average,0.7082,0.6942,0.8549,0.8633,0.6942,0.8823
