,ADFNR,DASOD,GCN,GCN-LOF,NIEOD,NMIGOD
adult,1.0,0.5675,0.4839,0.5062,0.6111,0.4789
bank-full,0.7148,0.6534,0.5079,0.6185,0.5469,0.8397
banknote,0.3545,0.4727,0.4091,0.4886,0.7455,0.6136
breast-cancer,1.0,0.9268,0.9697,0.9394,1.0,0.9394
car,1.0,1.0,0.8505,0.5701,1.0,0.8972
chess,0.8329,0.7755,0.6569,0.8039,0.7598,0.915
cmc,0.9571,0.9523,0.7316,0.5845,0.9396,0.7376
credit,0.7812,0.9453,0.5882,0.7157,0.9297,0.6961
diabetes,1.0,0.94,0.325,0.275,0.96,0.55
german,0.36,0.51,0.425,0.575,0.5,0.4875
glass,0.5385,0.7436,0.9355,0.8387,0.5128,0.8065
heart,0.8129,0.9784,0.8649,0.8108,0.8705,0.8649
horse,0.8283,0.7778,0.7342,0.6962,0.8283,0.7595
iris,1.0,1.0,0.9375,0.875,1.0,0.9375
mushroom,0.7547,0.5469,0.8988,0.7962,0.7394,0.7493
nursery,1.0,0.9939,0.9508,0.8409,1.0,0.9659
parkinsons,0.4375,1.0,0.4474,0.4737,0.9167,0.5526
raisin,0.425,0.575,0.4062,0.3125,0.5,0.3125
student-mat,0.3448,0.5862,0.1739,0.2174,0.4828,0.5652
wine,0.9333,1.0,0.4583,0.4583,1.0,0.4583
wine-red,0.5432,0.2346,0.4615,0.0923,0.2346,0.8308
wine-white,0.2837,0.438,0.2241,0.3,0.3058,0.3793
yeast,1.0,0.4,1.0,1.0,1.0,1.0
zoo,0.4118,0.5294,0.5,0.9286,0.4118,0.9286
Average,0.7214,0.7311,0.6225,0.6132,0.7415,0.7194
