,ADFNR,DASOD,GCN,GCN-LOF,NIEOD,NMIGOD
abalone,0.2795,0.15,0.75,0.8824,0.2717,1.0
abl_full_diabetes,,,,,,1.0
abl_full_glass,,,,,,0.4364
abl_full_iris,,,,,,1.0
abl_full_wine,,,,,,1.0
abl_noAda_diabetes,,,,,,1.0
abl_noAda_glass,,,,,,0.3421
abl_noAda_iris,,,,,,1.0
abl_noAda_wine,,,,,,1.0
adult,0.0791,0.0889,0.3501,0.4259,0.0903,0.3068
arrhythmia,0.4872,0.4699,0.2759,0.377,0.4457,0.187
bank,0.2308,0.2586,0.3608,0.3108,0.2092,0.2857
bank-full,0.1213,0.1223,0.2892,0.3164,0.123,0.319
banknote,0.3679,0.4031,1.0,1.0,0.2216,0.9818
breast-cancer,0.8542,0.8837,0.7805,0.7561,0.7885,0.8378
car,0.0775,0.0775,0.8922,0.9242,0.0775,0.9231
chess,0.3848,0.3981,0.9481,0.8662,0.4008,0.9091
cmc,0.4446,0.4395,0.5198,0.6164,0.4515,0.5456
covertype,,,0.25,0.1854,0.0424,0.1435
credit,0.3788,0.3201,0.8333,0.7935,0.319,0.8161
diabetes,0.2793,0.2749,0.9286,0.9167,0.2623,1.0
german,0.1856,0.1753,0.2048,0.25,0.1767,0.201
glass,0.2561,0.2685,0.3372,0.4815,0.2632,0.4386
gs_diabetes,0.2793,0.2749,,,0.2424,
gs_glass,0.2561,0.2685,,,0.2632,
gs_iris,0.9091,0.8333,,,0.8333,
gs_wine,0.5185,0.5172,,,0.6,
heart,0.5433,0.4945,0.6076,0.687,0.5426,0.7111
hepatitis,0.3766,0.5116,0.4615,0.4444,0.5122,1.0
horse,0.4432,0.4783,0.3766,0.3571,0.4362,0.4255
iris,0.9091,0.8333,1.0,1.0,0.8333,1.0
mushroom,0.1375,,0.6142,0.6249,0.1324,0.6142
nursery,0.0255,,0.8339,0.7208,0.0255,0.68
parkinsons,0.4375,0.2487,1.0,0.8182,0.2667,0.6
raisin,0.5667,0.8519,0.8667,0.8333,0.8,0.8333
skin,0.2989,0.2904,0.9895,0.9652,0.3473,
student-mat,0.1471,0.1328,0.0816,0.1111,0.14,0.0793
wine,0.5185,0.5172,1.0,1.0,0.6,1.0
wine-red,0.0878,0.0979,0.06,0.0769,0.1067,0.0666
wine-white,0.1731,0.1071,0.2313,0.2,0.1602,0.1536
yeast,0.4167,0.0833,0.0044,0.0045,0.4167,0.0044
zoo,0.3333,0.4737,0.875,0.5909,0.3333,0.4062
Average,0.3577,0.366,0.5908,0.5846,0.3452,0.6283
