Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
800,1.0,0.8137,0.0688,0.1269,0.9614,651
1600,2.0,0.8013,0.1355,0.2319,0.9614,1282
2400,3.0,0.7854,0.1993,0.3179,0.9614,1885
3200,4.0,0.7863,0.266,0.3975,0.9614,2516
4000,5.0,0.778,0.329,0.4625,0.9614,3112
4800,6.0,0.7731,0.3924,0.5205,0.9614,3711
5600,7.0,0.7641,0.4524,0.5683,0.9614,4279
6400,8.0,0.7491,0.5069,0.6046,0.9614,4794
7200,9.0,0.7329,0.5579,0.6336,0.9614,5277
8000,10.0,0.7219,0.6106,0.6616,0.9614,5775
12000,15.0,0.6319,0.8018,0.7068,0.9614,7583
16000,20.0,0.5231,0.8849,0.6575,0.9614,8369
20000,25.0,0.4395,0.9293,0.5967,0.9614,8789
24000,30.0,0.3726,0.9455,0.5346,0.9614,8943
28000,35.0,0.3236,0.9579,0.4837,0.9614,9060
32000,40.0,0.2858,0.9668,0.4411,0.9614,9144
36000,45.0,0.2561,0.9746,0.4056,0.9614,9218
40000,50.0,0.2319,0.9805,0.375,0.9614,9274
48000,60.0,0.195,0.9897,0.3258,0.9614,9361
56000,70.0,0.1682,0.9961,0.2878,0.9614,9421
64000,80.0,0.1476,0.9985,0.2571,0.9614,9444
72000,90.0,0.1313,0.9995,0.2321,0.9614,9453
80000,100.0,0.1182,1.0,0.2115,0.9614,9458
