Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
700,1.0,0.7671,0.1132,0.1973,0.9225,537
1400,2.0,0.6979,0.206,0.3181,0.9225,977
2100,3.0,0.6452,0.2857,0.396,0.9225,1355
2800,4.0,0.6,0.3542,0.4454,0.9225,1680
3500,5.0,0.5603,0.4135,0.4758,0.9225,1961
4200,6.0,0.5319,0.471,0.4996,0.9225,2234
4900,7.0,0.5033,0.5199,0.5115,0.9225,2466
5600,8.0,0.48,0.5667,0.5198,0.9225,2688
6300,9.0,0.4598,0.6108,0.5247,0.9225,2897
7000,10.0,0.4361,0.6437,0.52,0.9225,3053
10500,15.0,0.3512,0.7776,0.4839,0.9225,3688
14000,20.0,0.2899,0.8558,0.4331,0.9225,4059
17500,25.0,0.2437,0.899,0.3834,0.9225,4264
21000,30.0,0.2093,0.9268,0.3415,0.9225,4396
24500,35.0,0.1827,0.9437,0.3061,0.9225,4476
28000,40.0,0.1615,0.9532,0.2762,0.9225,4521
31500,45.0,0.1444,0.9591,0.251,0.9225,4549
35000,50.0,0.1307,0.9648,0.2303,0.9225,4576
42000,60.0,0.1099,0.9728,0.1974,0.9225,4614
49000,70.0,0.0948,0.9793,0.1729,0.9225,4645
56000,80.0,0.0834,0.985,0.1538,0.9225,4672
63000,90.0,0.0749,0.9945,0.1393,0.9225,4717
70000,100.0,0.0678,1.0,0.1269,0.9225,4743
