Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
20,0.97,0.35,0.0183,0.0347,0.8305,7
41,2.0,0.561,0.0601,0.1085,0.8305,23
61,2.97,0.5574,0.0888,0.1532,0.8305,34
82,4.0,0.5244,0.1123,0.1849,0.8305,43
102,4.97,0.5588,0.1488,0.2351,0.8305,57
123,5.99,0.5447,0.1749,0.2648,0.8305,67
143,6.97,0.5385,0.201,0.2928,0.8305,77
164,7.99,0.5,0.2141,0.2998,0.8305,82
184,8.97,0.4946,0.2376,0.321,0.8305,91
205,9.99,0.5024,0.2689,0.3503,0.8305,103
307,14.96,0.4853,0.389,0.4319,0.8305,149
410,19.98,0.4439,0.4752,0.459,0.8305,182
513,25.0,0.4152,0.5561,0.4754,0.8305,213
615,29.97,0.4049,0.6501,0.499,0.8305,249
718,34.99,0.4025,0.7546,0.525,0.8305,289
820,39.96,0.3841,0.8225,0.5237,0.8305,315
923,44.98,0.3662,0.8825,0.5176,0.8305,338
1026,50.0,0.3548,0.9504,0.5167,0.8305,364
1231,59.99,0.3095,0.9948,0.4721,0.8305,381
1436,69.98,0.2667,1.0,0.4211,0.8305,383
1641,79.97,0.2334,1.0,0.3785,0.8305,383
1846,89.96,0.2075,1.0,0.3437,0.8305,383
2052,100.0,0.1866,1.0,0.3146,0.8305,383
