Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
60,0.98,0.0833,0.009,0.0163,0.6166,5
121,1.98,0.1157,0.0253,0.0415,0.6166,14
182,2.98,0.1154,0.0379,0.0571,0.6166,21
243,3.98,0.0988,0.0433,0.0602,0.6166,24
304,4.98,0.0987,0.0542,0.0699,0.6166,30
365,5.98,0.1014,0.0668,0.0805,0.6166,37
426,6.98,0.1033,0.0794,0.0898,0.6166,44
487,7.98,0.1068,0.0939,0.0999,0.6166,52
548,8.99,0.1095,0.1083,0.1089,0.6166,60
609,9.99,0.11,0.1209,0.1152,0.6166,67
914,14.99,0.1193,0.1968,0.1485,0.6166,109
1219,19.99,0.1198,0.2635,0.1647,0.6166,146
1524,24.99,0.1214,0.3339,0.1781,0.6166,185
1829,29.99,0.1268,0.4188,0.1947,0.6166,232
2134,34.99,0.1275,0.491,0.2024,0.6166,272
2439,39.99,0.1234,0.5433,0.2011,0.6166,301
2744,44.99,0.1224,0.6065,0.2038,0.6166,336
3049,49.99,0.1197,0.6588,0.2026,0.6166,365
3659,59.99,0.1148,0.7581,0.1994,0.6166,420
4269,70.0,0.1096,0.8448,0.1941,0.6166,468
4879,80.0,0.1062,0.935,0.1907,0.6166,518
5489,90.0,0.1007,0.9982,0.183,0.6166,553
6099,100.0,0.0908,1.0,0.1665,0.6166,554
