Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
81,1.0,0.0,0.0,0.0,0.6781,0
162,1.99,0.0432,0.0082,0.0138,0.6781,7
243,2.99,0.144,0.0411,0.0639,0.6781,35
324,3.99,0.2377,0.0904,0.131,0.6781,77
406,5.0,0.266,0.1268,0.1717,0.6781,108
487,5.99,0.269,0.1538,0.1957,0.6781,131
568,6.99,0.2641,0.1761,0.2113,0.6781,150
649,7.99,0.2357,0.1796,0.2039,0.6781,153
731,9.0,0.2257,0.1937,0.2085,0.6781,165
812,10.0,0.2143,0.2042,0.2091,0.6781,174
1218,14.99,0.1847,0.2641,0.2174,0.6781,225
1624,19.99,0.17,0.3239,0.2229,0.6781,276
2031,25.0,0.1541,0.3674,0.2171,0.6781,313
2437,30.0,0.1518,0.4343,0.225,0.6781,370
2843,35.0,0.1523,0.5082,0.2344,0.6781,433
3249,39.99,0.1508,0.5751,0.239,0.6781,490
3655,44.99,0.1518,0.6514,0.2463,0.6781,555
4062,50.0,0.1593,0.7594,0.2633,0.6781,647
4874,60.0,0.1549,0.8862,0.2637,0.6781,755
5686,69.99,0.14,0.9343,0.2435,0.6781,796
6499,80.0,0.1276,0.973,0.2255,0.6781,829
7311,89.99,0.1156,0.9918,0.207,0.6781,845
8124,100.0,0.1049,1.0,0.1898,0.6781,852
