Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.99,1.0,0.0588,0.1111,0.9041,1
2,1.98,0.5,0.0588,0.1053,0.9041,1
3,2.97,0.6667,0.1176,0.2,0.9041,2
4,3.96,0.5,0.1176,0.1905,0.9041,2
5,4.95,0.6,0.1765,0.2727,0.9041,3
6,5.94,0.6667,0.2353,0.3478,0.9041,4
7,6.93,0.5714,0.2353,0.3333,0.9041,4
8,7.92,0.625,0.2941,0.4,0.9041,5
9,8.91,0.6667,0.3529,0.4615,0.9041,6
10,9.9,0.7,0.4118,0.5185,0.9041,7
15,14.85,0.6,0.5294,0.5625,0.9041,9
20,19.8,0.5,0.5882,0.5405,0.9041,10
25,24.75,0.4,0.5882,0.4762,0.9041,10
30,29.7,0.5,0.8824,0.6383,0.9041,15
35,34.65,0.4857,1.0,0.6538,0.9041,17
40,39.6,0.425,1.0,0.5965,0.9041,17
45,44.55,0.3778,1.0,0.5484,0.9041,17
50,49.5,0.34,1.0,0.5075,0.9041,17
60,59.41,0.2833,1.0,0.4416,0.9041,17
70,69.31,0.2429,1.0,0.3908,0.9041,17
80,79.21,0.2125,1.0,0.3505,0.9041,17
90,89.11,0.1889,1.0,0.3178,0.9041,17
101,100.0,0.1683,1.0,0.2881,0.9041,17
