Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
20,0.97,0.35,0.0223,0.0419,0.472,7
41,2.0,0.2927,0.0382,0.0676,0.472,12
61,2.97,0.2131,0.0414,0.0693,0.472,13
82,4.0,0.1829,0.0478,0.0758,0.472,15
102,4.97,0.1569,0.051,0.0769,0.472,16
123,5.99,0.1545,0.0605,0.087,0.472,19
143,6.97,0.1399,0.0637,0.0875,0.472,20
164,7.99,0.1402,0.0732,0.0962,0.472,23
184,8.97,0.1522,0.0892,0.1124,0.472,28
205,9.99,0.1659,0.1083,0.131,0.472,34
307,14.96,0.1531,0.1497,0.1514,0.472,47
410,19.98,0.1439,0.1879,0.163,0.472,59
513,25.0,0.1326,0.2166,0.1644,0.472,68
615,29.97,0.1317,0.258,0.1744,0.472,81
718,34.99,0.1337,0.3057,0.186,0.472,96
820,39.96,0.1378,0.3599,0.1993,0.472,113
923,44.98,0.143,0.4204,0.2134,0.472,132
1026,50.0,0.1462,0.4777,0.2239,0.472,150
1231,59.99,0.1446,0.5669,0.2304,0.472,178
1436,69.98,0.1469,0.672,0.2411,0.472,211
1641,79.97,0.1511,0.7898,0.2537,0.472,248
1846,89.96,0.1549,0.9108,0.2648,0.472,286
2052,100.0,0.153,1.0,0.2654,0.472,314
