Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.7365808500813827,1,1
1,0.7366914116193362,1,1
2,0.7923598015219863,1,1
3,0.7931014332128365,1,1
4,0.7319483780788216,1,1
5,0.7344153053773894,1,1
6,0.7479683939390422,1,1
7,0.7319483780788216,1,1
8,0.7474425345090805,1,1
9,0.7537093537530347,1,1
10,0.7646176832050225,1,1
11,0.7919617713790756,1,1
12,0.7577845635834002,1,1
13,0.7477787757612151,1,1
14,0.7743223162094846,1,1
15,0.7349104802237836,1,1
16,0.7846189431599714,1,1
17,0.7546183924240059,1,1
18,0.7740047024932113,1,1
19,0.7405560361827068,1,1
20,0.6248080011229249,0,0
21,0.6079235159824976,0,0
22,0.6140137251548466,0,0
23,0.6671281285139488,0,0
24,0.6005015678377366,0,0
25,0.6044492248305795,0,0
26,0.6055468709025982,0,0
27,0.7112145400374669,0,0
28,0.6100882231130873,0,0
29,0.6353500875957419,0,0
30,0.7311651310100628,0,0
31,0.6014254303835215,0,0
32,0.6756053394080671,0,0
33,0.5918909979310298,0,0
34,0.6249893016222481,0,0
35,0.6123595893666376,0,0
36,0.596796684223064,0,0
37,0.6304492071552388,0,0
38,0.6425513218696403,0,0
39,0.6535524363635669,0,0
40,0.6028152814668992,0,0
41,0.6116554681568805,0,0
42,0.6167924662933435,0,0
43,0.600794107187216,0,0
44,0.6080227203390951,0,0
45,0.6080997126884347,0,0
46,0.6135035733190233,0,0
47,0.6010104817521571,0,0
48,0.5926319981015054,0,0
49,0.6578752610924383,0,0
50,0.6726280358898277,0,0
51,0.6739047009249226,0,0
52,0.6248894759168129,0,0
53,0.5964427126892915,0,0
54,0.6046780621492872,0,0
55,0.6253900011905877,0,0
56,0.6046520992452287,0,0
57,0.6492781197858934,0,0
58,0.6132771729764593,0,0
59,0.6455754481455293,0,0
60,0.6335814158130488,0,0
61,0.5938102110516867,0,0
62,0.6370604966110758,0,0
63,0.7148218563436737,0,0
64,0.6159633997316152,0,0
65,0.610055594627765,0,0
66,0.607076514815692,0,0
67,0.6002856602265092,0,0
68,0.699929679726768,0,0
69,0.6131529261585701,0,0
70,0.6649706889101475,0,0
71,0.5998702401010456,0,0
72,0.6458343790006397,0,0
73,0.596341208141436,0,0
74,0.6305416812231848,0,0
75,0.7002887978151335,0,0
76,0.6465394483463599,0,0
77,0.6555723846054708,0,0
78,0.6366466159647842,0,0
79,0.7367036689273936,1,0
80,0.6163968953413126,0,0
81,0.6013367937427259,0,0
82,0.6254950966128752,0,0
83,0.62572259904491,0,0
84,0.6227126828747874,0,0
85,0.6311405030551329,0,0
86,0.6001497764929118,0,0
87,0.7831226647224956,1,0
88,0.7436513892543961,1,0
89,0.6436404383162414,0,0
90,0.6567177909097408,0,0
91,0.603850486183505,0,0
92,0.7040816642414721,0,0
93,0.5959205454237606,0,0
94,0.6421352244442141,0,0
95,0.6521972172720439,0,0
96,0.5874756058087476,0,0
97,0.5863513445061385,0,0
98,0.6173933391682531,0,0
99,0.6339900095315307,0,0
100,0.6539426419288321,0,0
101,0.7589796753644843,1,0
102,0.6264236441154403,0,0
103,0.5947738819218027,0,0
104,0.6200345587678223,0,0
105,0.696597730624986,0,0
106,0.6598464735720182,0,0
107,0.6006407299612553,0,0
108,0.5882851436051686,0,0
109,0.6294897385301602,0,0
110,0.6391150752124722,0,0
111,0.6403787245688961,0,0
112,0.5998702401010456,0,0
113,0.6565275628997742,0,0
114,0.6663574338511526,0,0
115,0.6290795799260518,0,0
116,0.6164059242758415,0,0
117,0.6060548662669929,0,0
118,0.6495175883340054,0,0
119,0.5931975337685198,0,0
