Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
2,0.93,0.0,0.0,0.0,0.8515,0
4,1.87,0.0,0.0,0.0,0.8515,0
6,2.8,0.1667,0.0323,0.0541,0.8515,1
8,3.74,0.375,0.0968,0.1538,0.8515,3
10,4.67,0.4,0.129,0.1951,0.8515,4
12,5.61,0.4167,0.1613,0.2326,0.8515,5
14,6.54,0.4286,0.1935,0.2667,0.8515,6
17,7.94,0.4706,0.2581,0.3333,0.8515,8
19,8.88,0.4211,0.2581,0.32,0.8515,8
21,9.81,0.4762,0.3226,0.3846,0.8515,10
32,14.95,0.5625,0.5806,0.5714,0.8515,18
42,19.63,0.5,0.6774,0.5753,0.8515,21
53,24.77,0.434,0.7419,0.5476,0.8515,23
64,29.91,0.3594,0.7419,0.4842,0.8515,23
74,34.58,0.3108,0.7419,0.4381,0.8515,23
85,39.72,0.3059,0.8387,0.4483,0.8515,26
96,44.86,0.2708,0.8387,0.4094,0.8515,26
107,50.0,0.2617,0.9032,0.4058,0.8515,28
128,59.81,0.2344,0.9677,0.3774,0.8515,30
149,69.63,0.2013,0.9677,0.3333,0.8515,30
171,79.91,0.1813,1.0,0.3069,0.8515,31
192,89.72,0.1615,1.0,0.278,0.8515,31
214,100.0,0.1449,1.0,0.2531,0.8515,31
