Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.85,1.0,0.0976,0.1778,0.9908,4
9,1.92,0.8889,0.1951,0.32,0.9908,8
14,2.99,0.8571,0.2927,0.4364,0.9908,12
18,3.84,0.8889,0.3902,0.5424,0.9908,16
23,4.9,0.8696,0.4878,0.625,0.9908,20
28,5.97,0.8571,0.5854,0.6957,0.9908,24
32,6.82,0.8438,0.6585,0.7397,0.9908,27
37,7.89,0.8649,0.7805,0.8205,0.9908,32
42,8.96,0.8095,0.8293,0.8193,0.9908,34
46,9.81,0.8043,0.9024,0.8506,0.9908,37
70,14.93,0.5857,1.0,0.7387,0.9908,41
93,19.83,0.4409,1.0,0.6119,0.9908,41
117,24.95,0.3504,1.0,0.519,0.9908,41
140,29.85,0.2929,1.0,0.453,0.9908,41
164,34.97,0.25,1.0,0.4,0.9908,41
187,39.87,0.2193,1.0,0.3596,0.9908,41
211,44.99,0.1943,1.0,0.3254,0.9908,41
234,49.89,0.1752,1.0,0.2982,0.9908,41
281,59.91,0.1459,1.0,0.2547,0.9908,41
328,69.94,0.125,1.0,0.2222,0.9908,41
375,79.96,0.1093,1.0,0.1971,0.9908,41
422,89.98,0.0972,1.0,0.1771,0.9908,41
469,100.0,0.0874,1.0,0.1608,0.9908,41
